,cbsa_name,cbsa_code,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
108,"Greenville-Anderson-Mauldin, SC",24860,269,491,-222,91,638,-547,37,471,-434,53,163,-110,86.0,81.0,123.0,72.0,121.0,71.0,101.0,83.0,450,1763,-1313,-325,113,324
109,"Gulfport-Biloxi-Pascagoula, MS",25060,17,0,17,16,0,16,0,0,0,0,0,0,162.0,187.0,173.0,194.0,130.0,135.0,118.0,125.0,33,0,33,-1,-16,0
110,"Hagerstown-Martinsburg, MD-WV",25180,50,21,29,0,64,-64,0,0,0,0,0,0,135.0,176.0,179.0,149.0,130.0,135.0,118.0,125.0,50,85,-35,-93,64,0
111,"Harrisburg-Carlisle, PA",25420,488,728,-240,420,685,-265,199,443,-244,107,322,-215,65.0,67.0,71.0,70.0,73.0,74.0,81.0,70.0,1214,2178,-964,-25,21,29
112,"Hartford-West Hartford-East Hartford, CT",25540,2330,2696,-366,2231,2720,-489,1860,2290,-430,1319,1656,-337,21.0,27.0,21.0,27.0,23.0,28.0,23.0,30.0,7740,9362,-1622,-123,59,93
113,"Hilo, HI",25900,17,23,-6,0,11,-11,0,0,0,0,0,0,162.0,174.0,179.0,192.0,130.0,135.0,118.0,125.0,17,34,-17,-5,11,0
114,"Hilton Head Island-Bluffton-Beaufort, SC",25940,117,474,-357,130,593,-463,73,313,-240,26,153,-127,115.0,82.0,112.0,76.0,105.0,78.0,113.0,87.0,346,1533,-1187,-106,223,113
115,"Hinesville, GA",25980,0,81,-81,48,89,-41,0,0,0,0,0,0,169.0,137.0,147.0,136.0,130.0,135.0,118.0,125.0,48,170,-122,40,41,0
116,"Homosassa Springs, FL",26140,28,142,-114,89,87,2,0,53,-53,0,39,-39,152.0,125.0,124.0,137.0,130.0,121.0,118.0,115.0,117,321,-204,116,-55,14
117,"Houston-The Woodlands-Sugar Land, TX",26420,2594,4824,-2230,2584,6211,-3627,1949,5558,-3609,1623,4430,-2807,18.0,15.0,18.0,15.0,19.0,14.0,18.0,14.0,8750,21023,-12273,-1397,18,802
118,"Hudson, NY",26460,466,912,-446,441,726,-285,500,664,-164,280,540,-260,66.0,59.0,68.0,68.0,46.0,60.0,54.0,55.0,1687,2842,-1155,161,121,-96
119,"Huntington-Ashland, WV-KY-OH",26580,0,0,0,0,10,-10,0,0,0,0,0,0,169.0,187.0,179.0,193.0,130.0,135.0,118.0,125.0,0,10,-10,-10,10,0
120,"Huntsville, AL",26620,44,43,1,63,51,12,0,0,0,0,0,0,140.0,159.0,139.0,158.0,130.0,135.0,118.0,125.0,107,94,13,11,-12,0
121,"Indianapolis-Carmel-Anderson, IN",26900,296,748,-452,477,634,-157,184,249,-65,116,274,-158,83.0,66.0,64.0,74.0,81.0,88.0,78.0,72.0,1073,1905,-832,295,92,-93
122,"Iowa City, IA",26980,36,77,-41,82,101,-19,26,0,26,0,0,0,147.0,139.0,128.0,134.0,128.0,135.0,118.0,125.0,144,178,-34,22,45,-26
123,"Ithaca, NY",27060,420,317,103,396,331,65,293,222,71,218,159,59,68.0,102.0,73.0,103.0,63.0,92.0,62.0,84.0,1327,1029,298,-38,6,-12
124,"Jackson, MS",27140,14,0,14,44,29,15,0,0,0,0,0,0,165.0,187.0,151.0,178.0,130.0,135.0,118.0,125.0,58,29,29,1,-15,0
125,"Jacksonville, FL",27260,1037,1827,-790,934,2214,-1280,577,1813,-1236,388,1120,-732,39.0,36.0,41.0,32.0,42.0,33.0,42.0,35.0,2936,6974,-4038,-490,44,504
126,"Jacksonville, NC",27340,521,472,49,468,456,12,198,199,-1,74,256,-182,61.0,83.0,66.0,90.0,74.0,96.0,90.0,74.0,1261,1383,-122,-37,-13,-181
127,"Jamestown-Dunkirk-Fredonia, NY",27460,15,16,-1,0,13,-13,0,0,0,0,0,0,164.0,181.0,179.0,190.0,130.0,135.0,118.0,125.0,15,29,-14,-12,13,0
128,"Junction City, KS",27920,0,27,-27,17,0,17,0,0,0,0,0,0,169.0,170.0,172.0,194.0,130.0,135.0,118.0,125.0,17,27,-10,44,-17,0
129,"Kahului-Wailuku-Lahaina, HI",27980,15,14,1,20,48,-28,0,0,0,0,0,0,164.0,183.0,169.0,161.0,130.0,135.0,118.0,125.0,35,62,-27,-29,28,0
130,"Kalamazoo-Portage, MI",28020,23,0,23,14,15,-1,0,0,0,0,0,0,156.0,187.0,175.0,189.0,130.0,135.0,118.0,125.0,37,15,22,-24,1,0
131,"Kansas City, MO-KS",28140,313,492,-179,327,538,-211,188,229,-41,131,112,19,81.0,80.0,79.0,81.0,78.0,91.0,76.0,97.0,959,1371,-412,-32,170,60
132,"Keene, NH",28300,15,18,-3,12,0,12,0,0,0,0,0,0,164.0,179.0,177.0,194.0,130.0,135.0,118.0,125.0,27,18,9,15,-12,0
133,"Key West, FL",28580,54,117,-63,96,81,15,0,0,0,0,87,-87,132.0,129.0,122.0,139.0,130.0,135.0,118.0,102.0,150,285,-135,78,-15,-87
