LA Net Migration
inflow_2014_15_outflow_2014_15
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
| 04027  |   AZ   |          Yuma County          |    -3   |   -38   |
| 05007  |   AR   |         Benton County         |   -20   |   -38   |
| 06017  |   CA   |        El Dorado County       |   -21   |   -38   |
| 31109  |   NE   |        Lancaster County       |    -9   |   -38   |
| 48141  |   TX   |         El Paso County        |    3    |   -38   |
| 53005  |   WA   |         Benton County         |    -9   |   -38   |
| 53015  |   WA   |         Cowlitz County        |   -27   |   -38   |
| 47187  |   TN   |       Williamson County       |    -9   |   -39   |
| 57003  |   FR   |     Foreign - Puerto Rico     |   -15   |   -39   |
| 13113  |   GA   |         Fayette County        |   -24   |   -40   |
| 30031  |   MT   |        Gallatin County        |   -26   |   -40   |
| 41011  |   OR   |          Coos County          |   -21   |   -40   |
| 41043  |   OR   |          Linn County          |   -25   |   -40   |
| 06093  |   CA   |        Siskiyou County        |   -21   |   -41   |
| 06113  |   CA   |          Yolo County          |   -16   |   -41   |
| 12061  |   FL   |      Indian River County      |   -23   |   -41   |
| 13215  |   GA   |        Muscogee County        |   -21   |   -41   |
| 37097  |   NC   |         Iredell County        |   -21   |   -41   |
| 12019  |   FL   |          Clay County          |   -25   |   -42   |
| 32510  |   NV   |          Carson City          |   -16   |   -42   |
| 38105  |   ND   |        Williams County        |   -23   |   -42   |
| 48039  |   TX   |        Brazoria County        |   -17   |   -42   |
| 45015  |   SC   |        Berkeley County        |   -27   |   -43   |
| 48245  |   TX   |        Jefferson County       |   -22   |   -43   |
| 49021  |   UT   |          Iron County          |   -22   |   -43   |
| 28049  |   MS   |          Hinds County         |   -24   |   -44   |
| 35043  |   NM   |        Sandoval County        |   -20   |   -44   |
| 06087  |   CA   |       Santa Cruz County       |   -18   |   -45   |
| 06103  |   CA   |         Tehama County         |   -23   |   -45   |
| 12081  |   FL   |         Manatee County        |    -9   |   -45   |
| 13077  |   GA   |         Coweta County         |   -20   |   -45   |
| 53009  |   WA   |         Clallam County        |   -28   |   -45   |
| 13097  |   GA   |         Douglas County        |   -25   |   -46   |
| 32005  |   NV   |         Douglas County        |   -26   |   -46   |
| 49057  |   UT   |          Weber County         |   -23   |   -46   |
| 20061  |   KS   |          Geary County         |   -17   |   -47   |
| 48061  |   TX   |         Cameron County        |   -24   |   -47   |
