NYC Out Migration
outflow_2011_12
+-------------+---------------+-------------------------------+---------+---------+
| destination | st_dest_abbrv |          co_dest_name         | returns | exempts |
|    01097    |       AL      |         Mobile County         |    30   |    44   |
|    01101    |       AL      |       Montgomery County       |    27   |    44   |
|    04021    |       AZ      |          Pinal County         |    28   |    44   |
|    12087    |       FL      |         Monroe County         |    31   |    44   |
|    47065    |       TN      |        Hamilton County        |    24   |    44   |
|    01089    |       AL      |         Madison County        |    25   |    43   |
|    22055    |       LA      |        Lafayette Parish       |    25   |    42   |
|    13223    |       GA      |        Paulding County        |    23   |    41   |
|    04025    |       AZ      |         Yavapai County        |    28   |    40   |
|    13113    |       GA      |         Fayette County        |    23   |    40   |
|    16001    |       ID      |           Ada County          |    25   |    40   |
|    17089    |       IL      |          Kane County          |    28   |    40   |
|    12005    |       FL      |           Bay County          |    22   |    39   |
|    12017    |       FL      |         Citrus County         |    24   |    39   |
|    48167    |       TX      |        Galveston County       |    24   |    39   |
|    41039    |       OR      |          Lane County          |    32   |    38   |
|    06029    |       CA      |          Kern County          |    23   |    37   |
|    17197    |       IL      |          Will County          |    26   |    37   |
|    47187    |       TN      |       Williamson County       |    24   |    37   |
|    49049    |       UT      |          Utah County          |    17   |    37   |
|    06079    |       CA      |     San Luis Obispo County    |    23   |    36   |
|    08069    |       CO      |         Larimer County        |    27   |    36   |
|    13059    |       GA      |         Clarke County         |    23   |    36   |
|    24017    |       MD      |         Charles County        |    20   |    36   |
|    50023    |       VT      |       Washington County       |    27   |    36   |
|    51177    |       VA      |      Spotsylvania County      |    22   |    36   |
|    09013    |       CT      |         Tolland County        |    24   |    35   |
|    25011    |       MA      |        Franklin County        |    20   |    35   |
|    33017    |       NH      |        Strafford County       |    20   |    34   |
|    36015    |       NY      |         Chemung County        |    23   |    34   |
|    53067    |       WA      |        Thurston County        |    22   |    34   |
|    36069    |       NY      |         Ontario County        |    25   |    33   |
|    51730    |       VA      |        Petersburg city        |    14   |    33   |
|    13179    |       GA      |         Liberty County        |    16   |    32   |
|    37071    |       NC      |         Gaston County         |    16   |    32   |
|    57009    |       FR      |     Foreign - Other flows     |    22   |    32   |
|    36063    |       NY      |         Niagara County        |    21   |    31   |
|    08035    |       CO      |         Douglas County        |    20   |    30   |
|    06055    |       CA      |          Napa County          |    20   |    29   |
|    12091    |       FL      |        Okaloosa County        |    16   |    29   |
|    37085    |       NC      |         Harnett County        |    12   |    29   |
|    40027    |       OK      |        Cleveland County       |    23   |    29   |
|    44001    |       RI      |         Bristol County        |    15   |    29   |
|    18141    |       IN      |       St. Joseph County       |    19   |    28   |
|    37097    |       NC      |         Iredell County        |    12   |    28   |
|    12055    |       FL      |        Highlands County       |    12   |    27   |
|    20061    |       KS      |          Geary County         |    19   |    27   |
|    42025    |       PA      |         Carbon County         |    15   |    26   |
|    51740    |       VA      |        Portsmouth city        |    13   |    26   |
|    27003    |       MN      |          Anoka County         |    21   |    25   |
|    37195    |       NC      |         Wilson County         |    12   |    25   |
|    48039    |       TX      |        Brazoria County        |    13   |    25   |
|    15001    |       HI      |         Hawaii County         |    13   |    23   |
|    36017    |       NY      |        Chenango County        |    13   |    23   |
|    45069    |       SC      |        Marlboro County        |    12   |    23   |
|    13073    |       GA      |        Columbia County        |    10   |    22   |
|    49043    |       UT      |         Summit County         |    11   |    22   |
|    50003    |       VT      |       Bennington County       |    10   |    22   |
|    08097    |       CO      |         Pitkin County         |    16   |    21   |
|    24043    |       MD      |       Washington County       |    12   |    21   |
|    36095    |       NY      |        Schoharie County       |    11   |    21   |
|    37125    |       NC      |          Moore County         |    10   |    21   |
|    51179    |       VA      |        Stafford County        |    11   |    21   |
|    06099    |       CA      |       Stanislaus County       |    10   |    20   |
|    08037    |       CO      |          Eagle County         |    13   |    20   |
|    39165    |       OH      |         Warren County         |    10   |    20   |
|    51770    |       VA      |          Roanoke city         |    12   |    20   |
|    06077    |       CA      |       San Joaquin County      |    10   |    19   |
|    13127    |       GA      |          Glynn County         |    11   |    19   |
|    33013    |       NH      |        Merrimack County       |    12   |    19   |
|    36035    |       NY      |         Fulton County         |    12   |    19   |
|    36101    |       NY      |         Steuben County        |    10   |    19   |
|    38017    |       ND      |          Cass County          |    14   |    19   |
|    41005    |       OR      |        Clackamas County       |    12   |    19   |
|    45085    |       SC      |         Sumter County         |    13   |    19   |
|    01117    |       AL      |         Shelby County         |    10   |    18   |
|    02090    |       AK      |  Fairbanks North Star Borough |    11   |    18   |
|    05143    |       AR      |       Washington County       |    16   |    18   |
|    29019    |       MO      |          Boone County         |    10   |    18   |
|    33005    |       NH      |        Cheshire County        |    14   |    18   |
|    39057    |       OH      |         Greene County         |    10   |    18   |
|    53035    |       WA      |         Kitsap County         |    12   |    18   |
|    25019    |       MA      |        Nantucket County       |    13   |    17   |
|    37191    |       NC      |          Wayne County         |    11   |    17   |
|    50027    |       VT      |         Windsor County        |    12   |    17   |
|    53011    |       WA      |          Clark County         |    15   |    17   |
|    06113    |       CA      |          Yolo County          |    12   |    16   |
|    13021    |       GA      |          Bibb County          |    11   |    16   |
|    36013    |       NY      |       Chautauqua County       |    10   |    16   |
|    37037    |       NC      |         Chatham County        |    12   |    16   |
|    48041    |       TX      |         Brazos County         |    10   |    16   |
|    23019    |       ME      |        Penobscot County       |    11   |    15   |
|    37093    |       NC      |          Hoke County          |    10   |    15   |
