NYC In Migration
inflow_2012_13
+--------+---------------+-------------------------------+---------+---------+
| origin | st_orig_abbrv |          co_orig_name         | returns | exempts |
| 20061  |       KS      |          Geary County         |    11   |    17   |
| 49053  |       UT      |       Washington County       |    11   |    17   |
| 51095  |       VA      |       James City County       |    11   |    17   |
| 53011  |       WA      |          Clark County         |    12   |    17   |
| 06113  |       CA      |          Yolo County          |    13   |    16   |
| 08001  |       CO      |          Adams County         |    10   |    16   |
| 08097  |       CO      |         Pitkin County         |    14   |    16   |
| 13117  |       GA      |         Forsyth County        |    11   |    16   |
| 17111  |       IL      |         McHenry County        |    13   |    16   |
| 18157  |       IN      |       Tippecanoe County       |    14   |    16   |
| 24013  |       MD      |         Carroll County        |    12   |    16   |
| 28047  |       MS      |        Harrison County        |    12   |    16   |
| 41005  |       OR      |        Clackamas County       |    13   |    16   |
| 26049  |       MI      |         Genesee County        |    12   |    15   |
| 30063  |       MT      |        Missoula County        |    14   |    15   |
| 36015  |       NY      |         Chemung County        |    12   |    15   |
| 45091  |       SC      |          York County          |    10   |    15   |
| 53067  |       WA      |        Thurston County        |    11   |    15   |
| 56021  |       WY      |         Laramie County        |    11   |    15   |
| 23009  |       ME      |         Hancock County        |    14   |    14   |
| 26077  |       MI      |        Kalamazoo County       |    13   |    14   |
| 39093  |       OH      |         Lorain County         |    13   |    14   |
| 39099  |       OH      |        Mahoning County        |    14   |    14   |
| 04021  |       AZ      |          Pinal County         |    10   |    13   |
| 22103  |       LA      |       St. Tammany Parish      |    11   |    13   |
| 31079  |       NE      |          Hall County          |    11   |    13   |
| 36053  |       NY      |         Madison County        |    11   |    13   |
| 39009  |       OH      |         Athens County         |    13   |    13   |
| 44001  |       RI      |         Bristol County        |    12   |    13   |
| 54061  |       WV      |       Monongalia County       |    11   |    13   |
| 01117  |       AL      |         Shelby County         |    11   |    12   |
| 01125  |       AL      |       Tuscaloosa County       |    11   |    12   |
| 28121  |       MS      |         Rankin County         |    10   |    12   |
| 33003  |       NH      |         Carroll County        |    10   |    12   |
| 33005  |       NH      |        Cheshire County        |    12   |    12   |
| 08037  |       CO      |          Eagle County         |    10   |    10   |
+--------+---------------+-------------------------------+---------+---------+
