,cbsa_code,cbsa_name,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
187,36700,"Orangeburg, SC",25,83,-58,0,71,-71,0,0,0,0,32,-32,25,186,-161
188,36740,"Orlando-Kissimmee-Sanford, FL",5675,9434,-3759,4959,9991,-5032,3654,8911,-5257,2788,7044,-4256,17076,35380,-18304
189,37100,"Oxnard-Thousand Oaks-Ventura, CA",169,252,-83,243,360,-117,106,191,-85,100,93,7,618,896,-278
190,37120,"Ozark, AL",0,0,0,0,35,-35,0,32,-32,0,0,0,0,67,-67
191,37340,"Palm Bay-Melbourne-Titusville, FL",638,1238,-600,643,1394,-751,375,1580,-1205,297,1131,-834,1953,5343,-3390
192,37460,"Panama City, FL",21,39,-18,18,35,-17,0,0,0,0,0,0,39,74,-35
193,37860,"Pensacola-Ferry Pass-Brent, FL",30,66,-36,49,103,-54,0,0,0,0,0,0,79,169,-90
194,37900,"Peoria, IL",0,0,0,0,12,-12,0,0,0,0,0,0,0,12,-12
195,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",16305,20762,-4457,15568,20100,-4532,12824,17532,-4708,9907,13874,-3967,54604,72268,-17664
196,38060,"Phoenix-Mesa-Scottsdale, AZ",2039,3187,-1148,2020,3202,-1182,1756,3198,-1442,1189,2318,-1129,7004,11905,-4901
197,38240,"Pinehurst-Southern Pines, NC",0,21,-21,0,36,-36,0,0,0,0,0,0,0,57,-57
198,38300,"Pittsburgh, PA",1153,1401,-248,1212,1531,-319,984,1189,-205,722,772,-50,4071,4893,-822
199,38340,"Pittsfield, MA",115,272,-157,121,279,-158,98,194,-96,59,82,-23,393,827,-434
200,38460,"Plattsburgh, NY",49,26,23,0,46,-46,0,0,0,0,0,0,49,72,-23
201,38940,"Port St. Lucie, FL",682,1844,-1162,844,1772,-928,359,1406,-1047,180,1103,-923,2065,6125,-4060
202,38860,"Portland-South Portland, ME",186,472,-286,299,430,-131,155,335,-180,112,265,-153,752,1502,-750
203,38900,"Portland-Vancouver-Hillsboro, OR-WA",658,810,-152,523,1043,-520,350,750,-400,272,541,-269,1803,3144,-1341
204,39060,"Pottsville, PA",16,107,-91,20,58,-38,0,0,0,0,0,0,36,165,-129
205,39140,"Prescott, AZ",0,75,-75,0,39,-39,0,0,0,0,0,0,0,114,-114
206,39300,"Providence-Warwick, RI-MA",1758,2091,-333,1519,2115,-596,1144,1477,-333,792,1123,-331,5213,6806,-1593
207,39340,"Provo-Orem, UT",136,37,99,48,51,-3,53,53,0,63,0,63,300,141,159
208,39460,"Punta Gorda, FL",112,417,-305,111,455,-344,0,164,-164,0,115,-115,223,1151,-928
209,39580,"Raleigh, NC",1557,3476,-1919,1467,3591,-2124,1222,3793,-2571,893,2393,-1500,5139,13253,-8114
210,39660,"Rapid City, SD",0,45,-45,0,0,0,0,0,0,0,0,0,0,45,-45
211,39740,"Reading, PA",810,1359,-549,763,1370,-607,561,966,-405,398,811,-413,2532,4506,-1974
212,39900,"Reno, NV",65,83,-18,87,39,48,0,34,-34,0,0,0,152,156,-4
213,40060,"Richmond, VA",840,1560,-720,887,1628,-741,532,1110,-578,465,690,-225,2724,4988,-2264
214,40140,"Riverside-San Bernardino-Ontario, CA",830,977,-147,837,1140,-303,447,541,-94,344,361,-17,2458,3019,-561
215,40220,"Roanoke, VA",0,20,-20,0,0,0,0,0,0,0,0,0,0,20,-20
216,40340,"Rochester, MN",0,56,-56,67,50,17,0,0,0,0,0,0,67,106,-39
217,40380,"Rochester, NY",1240,1292,-52,1018,1478,-460,885,923,-38,571,688,-117,3714,4381,-667
218,40420,"Rockford, IL",0,0,0,0,69,-69,0,0,0,0,0,0,0,69,-69
219,40860,"Rutland, VT",0,11,-11,0,0,0,0,0,0,0,0,0,0,11,-11
220,40900,"Sacramento--Roseville--Arden-Arcade, CA",287,315,-28,292,500,-208,187,290,-103,173,163,10,939,1268,-329
221,41500,"Salinas, CA",41,48,-7,41,72,-31,0,30,-30,21,0,21,103,150,-47
222,41540,"Salisbury, MD-DE",131,605,-474,51,663,-612,0,468,-468,0,140,-140,182,1876,-1694
223,41620,"Salt Lake City, UT",413,467,-54,345,472,-127,235,209,26,134,110,24,1127,1258,-131
224,41700,"San Antonio-New Braunfels, TX",543,911,-368,622,989,-367,326,749,-423,222,400,-178,1713,3049,-1336
225,41740,"San Diego-Carlsbad, CA",2317,2777,-460,2181,2896,-715,1913,2982,-1069,1496,2296,-800,7907,10951,-3044
226,41860,"San Francisco-Oakland-Hayward, CA",4226,6728,-2502,4397,6698,-2301,3680,6889,-3209,2979,4992,-2013,15282,25307,-10025
227,41940,"San Jose-Sunnyvale-Santa Clara, CA",1274,2170,-896,1345,2254,-909,1097,2270,-1173,1189,1528,-339,4905,8222,-3317
228,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",39,36,3,27,13,14,0,0,0,0,0,0,66,49,17
229,42100,"Santa Cruz-Watsonville, CA",44,53,-9,57,60,-3,25,69,-44,0,30,-30,126,212,-86
230,42140,"Santa Fe, NM",65,75,-10,66,81,-15,26,70,-44,23,36,-13,180,262,-82
231,42200,"Santa Maria-Santa Barbara, CA",112,148,-36,105,132,-27,51,97,-46,70,105,-35,338,482,-144
232,42220,"Santa Rosa, CA",45,109,-64,64,108,-44,44,90,-46,29,34,-5,182,341,-159
233,42340,"Savannah, GA",212,367,-155,276,370,-94,80,169,-89,43,127,-84,611,1033,-422
234,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1515,3043,-1528,1543,2569,-1026,963,2157,-1194,736,1707,-971,4757,9476,-4719
235,42660,"Seattle-Tacoma-Bellevue, WA",1969,2565,-596,1880,3043,-1163,1603,2578,-975,1073,1791,-718,6525,9977,-3452
236,42680,"Sebastian-Vero Beach, FL",124,380,-256,128,520,-392,45,304,-259,30,212,-182,327,1416,-1089
237,42700,"Sebring, FL",15,27,-12,0,0,0,0,0,0,0,0,0,15,27,-12
238,43780,"South Bend-Mishawaka, IN-MI",35,28,7,23,19,4,0,0,0,0,0,0,58,47,11
239,43900,"Spartanburg, SC",33,0,33,24,162,-138,0,0,0,0,0,0,57,162,-105
240,44060,"Spokane-Spokane Valley, WA",10,12,-2,29,0,29,0,0,0,0,0,0,39,12,27
241,44140,"Springfield, MA",709,950,-241,488,783,-295,380,574,-194,277,403,-126,1854,2710,-856
242,41100,"St. George, UT",0,0,0,17,0,17,0,0,0,0,0,0,17,0,17
243,41180,"St. Louis, MO-IL",534,512,22,471,634,-163,265,311,-46,224,166,58,1494,1623,-129
